TIME,CH1,CH2
-0.01,0.0357812,10.0391
-0.0099998,0.0301953,10.0656
-0.0099996,0.0342969,10.0547
-0.0099994,0.0433203,10.0109
-0.0099992,0.0374219,10.0516
-0.009999,0.0247656,10.075
-0.0099988,0.0377734,10.0812
-0.0099986,0.0523047,10.0516
-0.0099984,0.0166797,10.0719
-0.0099982,0.0482813,10.0594
-0.009998,0.0353906,10.0578
-0.0099978,0.0239844,10.1187
-0.0099976,0.0185156,10.0938
-0.0099974,0.0315234,10.0516
-0.0099972,0.0126563,10.0875
-0.009997,0.0315625,9.99687
-0.0099968,0.0448437,10.0922
-0.0099966,0.0534766,10.0453
-0.0099964,0.0185937,10.0641
-0.0099962,0.0217578,10.0922
-0.009996,0.0373828,10.0578
-0.0099958,0.02625,10.0594
-0.0099956,0.0321484,10.0406
-0.0099954,0.0225,10.0547
-0.0099952,0.0308984,10.0938
-0.009995,0.0101172,10.0938
-0.0099948,0.0178906,10.0828
-0.0099946,0.0149219,10.0609
-0.0099944,0.020625,10.1125
-0.0099942,0.0432813,10.0891
-0.009994,0.0286328,10.0687
-0.0099938,0.0319141,10.0891
-0.0099936,0.0216016,10.0516
-0.0099934,0.0303906,10.125
-0.0099932,0.0285547,10.1203
-0.009993,0.0488281,10.0437
-0.0099928,0.0322656,10.0562
-0.0099926,0.0385547,10.0812
-0.0099924,0.0471875,10.1062
-0.0099922,0.0364844,10.0781
-0.009992,0.0331641,10.0938
-0.0099918,0.0405859,10.0859
-0.0099916,0.0502344,10.0859
-0.0099914,0.02375,10.0797
-0.0099912,0.0445313,10.0719
-0.009991,0.0238672,10.0984
-0.0099908,0.0197656,10.0969
-0.0099906,0.0445313,10.0422
-0.0099904,0.0428125,10.0984
-0.0099902,0.0394141,10.0484
-0.00999,0.0294531,10.1078
-0.0099898,0.0204297,10.0938
-0.0099896,0.0347266,10.0797
-0.0099894,0.00957031,10.0938
-0.0099892,0.0365625,10.0922
-0.009989,0.0355078,10.0344
-0.0099888,0.0233594,10.0516
-0.0099886,0.0248438,10.0938
-0.0099884,0.0455469,10.1109
-0.0099882,0.03,10.0953
-0.009988,0.0215625,10.0719
-0.0099878,0.0314453,10.1172
-0.0099876,0.0355078,10.0859
-0.0099874,0.0340625,10.0844
-0.0099872,0.019375,10.0781
-0.009987,0.0430078,10.0859
-0.0099868,0.0364062,10.0625
-0.0099866,0.0504297,10.0781
-0.0099864,0.0304688,10.0703
-0.0099862,0.00628906,10.1203
-0.009986,0.0373047,10.1016
-0.0099858,0.0175,10.0484
-0.0099856,0.0460547,10.0906
-0.0099854,0.0368359,10.0906
-0.0099852,0.0396094,10.0578
-0.009985,0.0364062,10.1109
-0.0099848,0.0246094,10.0969
-0.0099846,0.0408594,10.0938
-0.0099844,0.0391406,10.1172
-0.0099842,0.0180859,10.0453
-0.009984,0.0428516,10.0719
-0.0099838,0.019375,10.0734
-0.0099836,0.0275781,10.0984
-0.0099834,0.0457812,10.1328
-0.0099832,0.0473828,10.1281
-0.009983,0.0284766,10.0781
-0.0099828,0.0333984,10.0875
-0.0099826,0.0360547,10.0812
-0.0099824,0.0358203,10.0875
-0.0099822,0.0257812,10.0703
-0.009982,0.0255859,10.0266
-0.0099818,0.0408203,10.1141
-0.0099816,0.0298828,10.1125
-0.0099814,0.018125,10.0516
-0.0099812,0.0336328,10.1359
-0.009981,0.0358984,10.1031
-0.0099808,0.0495703,10.1125
-0.0099806,0.0306641,10.0656
-0.0099804,0.0294922,10.1203
-0.0099802,0.0387109,10.1516
-0.00998,0.0363281,10.0781
-0.0099798,0.0346484,10.1047
-0.0099796,0.0375781,10.1406
-0.0099794,0.0285937,10.0687
-0.0099792,0.0310156,10.125
-0.009979,0.0163281,10.0875
-0.0099788,0.0311719,10.0594
-0.0099786,0.0375781,10.1406
-0.0099784,0.0472656,10.0938
-0.0099782,0.0166797,10.1187
-0.009978,0.0466016,10.0859
-0.0099778,0.0348438,10.0797
-0.0099776,0.0273438,10.1047
-0.0099774,0.0350391,10.0766
-0.0099772,0.0248828,10.1266
-0.009977,0.0367578,10.1297
-0.0099768,0.0308984,10.1016
-0.0099766,0.0234375,10.0891
-0.0099764,0.0319141,10.0578
-0.0099762,0.0332813,10.1078
-0.009976,0.0340625,10.1359
-0.0099758,0.0323828,10.1172
-0.0099756,0.0369922,10.1109
-0.0099754,0.0435547,10.1187
-0.0099752,0.0247656,10.0891
-0.009975,0.0407031,10.1344
-0.0099748,0.00550781,10.1094
-0.0099746,0.0440234,10.0812
-0.0099744,0.0385156,10.1219
-0.0099742,0.0277734,10.1062
-0.009974,0.0406641,10.1172
-0.0099738,0.0383594,10.1062
-0.0099736,0.0224609,10.075
-0.0099734,0.0204688,10.1391
-0.0099732,0.0445703,10.1047
-0.009973,0.0402734,10.1531
-0.0099728,0.0248828,10.1141
-0.0099726,0.0124219,10.1234
-0.0099724,0.0355859,10.1422
-0.0099722,0.0222656,10.1687
-0.009972,0.0294922,10.1297
-0.0099718,0.0540625,10.0984
-0.0099716,0.0139063,10.1031
-0.0099714,0.0515625,10.1297
-0.0099712,0.0453516,10.0859
-0.009971,0.0382813,10.1125
-0.0099708,0.0360938,10.1187
-0.0099706,0.0369922,10.175
-0.0099704,0.0397656,10.1203
-0.0099702,0.0453906,10.15
-0.00997,0.0296875,10.1344
-0.0099698,0.0328516,10.1141
-0.0099696,0.0324219,10.1391
-0.0099694,0.0328125,10.0938
-0.0099692,0.0153906,10.1187
-0.009969,0.0237109,10.1516
-0.0099688,0.0233984,10.1078
-0.0099686,0.0301953,10.1484
-0.0099684,0.0302734,10.1328
-0.0099682,0.0370312,10.1656
-0.009968,0.0199609,10.1344
-0.0099678,0.0348438,10.1094
-0.0099676,0.0334766,10.1469
-0.0099674,0.0128906,10.1469
-0.0099672,0.0311719,10.1641
-0.009967,0.0341406,10.1875
-0.0099668,0.0167578,10.1984
-0.0099666,0.0172656,10.1406
-0.0099664,0.0381641,10.1453
-0.0099662,0.0151172,10.1109
-0.009966,0.0217578,10.1344
-0.0099658,0.0283594,10.1953
-0.0099656,0.0242969,10.15
-0.0099654,0.0226172,10.1891
-0.0099652,0.0315234,10.1922
-0.009965,0.0266016,10.1328
-0.0099648,0.0314062,10.1172
-0.0099646,0.0266797,10.1891
-0.0099644,0.0326172,10.1391
-0.0099642,0.0330859,10.2109
-0.009964,0.0302344,10.1359
-0.0099638,0.00820312,10.1437
-0.0099636,0.0148438,10.2047
-0.0099634,0.0408594,10.1281
-0.0099632,0.0225391,10.1656
-0.009963,0.0375391,10.1766
-0.0099628,0.0584766,10.1906
-0.0099626,0.0353906,10.1844
-0.0099624,0.0203125,10.1797
-0.0099622,0.0240625,10.1578
-0.009962,0.0305859,10.2203
-0.0099618,0.0175391,10.1578
-0.0099616,0.05625,10.1891
-0.0099614,0.034375,10.1844
-0.0099612,0.0333203,10.1625
-0.009961,0.0311719,10.1562
-0.0099608,0.0402734,10.1922
-0.0099606,0.0608203,10.1969
-0.0099604,0.0271484,10.1969
-0.0099602,0.0188672,10.2
-0.00996,0.0192188,10.1625
-0.0099598,0.0185156,10.1812
-0.0099596,0.0401563,10.1766
-0.0099594,0.0300781,10.1453
-0.0099592,0.0350781,10.1844
-0.009959,0.0421094,10.1812
-0.0099588,0.0379687,10.1969
-0.0099586,0.0179687,10.1719
-0.0099584,0.0487891,10.2031
-0.0099582,0.0236719,10.1609
-0.009958,0.0221875,10.1297
-0.0099578,0.0175781,10.1984
-0.0099576,0.0271094,10.1609
-0.0099574,0.0428906,10.1906
-0.0099572,0.0415625,10.1797
-0.009957,0.0390625,10.1328
-0.0099568,0.0123828,10.175
-0.0099566,0.0467969,10.1906
-0.0099564,0.0229297,10.1516
-0.0099562,0.0371094,10.1781
-0.009956,0.0407422,10.1937
-0.0099558,0.0375781,10.1906
-0.0099556,0.0424219,10.1953
-0.0099554,0.0260938,10.1891
-0.0099552,0.0238281,10.1953
-0.009955,0.0436719,10.175
-0.0099548,0.0348438,10.2156
-0.0099546,0.0418359,10.1984
-0.0099544,0.0263672,10.1547
-0.0099542,0.0287109,10.1719
-0.009954,0.0303516,10.1875
-0.0099538,0.0209375,10.1406
-0.0099536,0.0423047,10.2219
-0.0099534,0.0312109,10.1656
-0.0099532,0.0341797,10.1766
-0.009953,0.0230078,10.2094
-0.0099528,0.0281641,10.1922
-0.0099526,0.0283203,10.1891
-0.0099524,0.0189844,10.1641
-0.0099522,0.0351172,10.2047
-0.009952,0.0184375,10.1437
-0.0099518,0.0349609,10.1625
-0.0099516,0.0190234,10.1531
-0.0099514,0.0432422,10.2078
-0.0099512,0.0493359,10.1625
-0.009951,0.0344922,10.1703
-0.0099508,0.0166797,10.2109
-0.0099506,0.00398438,10.1766
-0.0099504,0.0503125,10.1516
-0.0099502,0.0374219,10.1937
-0.00995,0.0365234,10.1828
-0.0099498,0.0232813,10.1687
-0.0099496,0.0367578,10.1484
-0.0099494,0.0413281,10.1891
-0.0099492,0.0232422,10.2016
-0.009949,0.0482031,10.1656
-0.0099488,0.0246484,10.1984
-0.0099486,0.0382422,10.1641
-0.0099484,0.0480469,10.1312
-0.0099482,0.0402734,10.1844
-0.009948,0.0478516,10.2281
-0.0099478,0.0371875,10.225
-0.0099476,0.0225391,10.1969
-0.0099474,0.0348047,10.0969
-0.0099472,0.0232031,10.1656
-0.009947,0.0302734,10.1875
-0.0099468,-0.00046875,10.1953
-0.0099466,0.0317188,10.2
-0.0099464,0.0608594,10.2141
-0.0099462,0.0215234,10.175
-0.009946,0.0358203,10.2109
-0.0099458,0.0286719,10.2141
-0.0099456,0.0385156,10.1812
-0.0099454,0.0384375,10.1687
-0.0099452,0.0397656,10.1969
-0.009945,0.0430078,10.2094
-0.0099448,0.0329687,10.2109
-0.0099446,0.0405469,10.1844
-0.0099444,0.0360156,10.1969
-0.0099442,0.0277734,10.2078
-0.009944,0.0202734,10.2094
-0.0099438,0.0202344,10.2391
-0.0099436,0.0271094,10.1422
-0.0099434,0.028125,10.1969
-0.0099432,0.0265234,10.15
-0.009943,0.0132422,10.2047
-0.0099428,0.0272266,10.2875
-0.0099426,0.109961,10.7531
-0.0099424,0.211328,11.2687
-0.0099422,0.21332,11.5563
-0.009942,0.124727,11.9266
-0.0099418,0.0114063,12.0922
-0.0099416,-0.0682031,12.1531
-0.0099414,-0.0805859,12.1016
-0.0099412,-0.00363281,11.9609
-0.009941,0.0715234,12.0125
-0.0099408,0.116406,11.9641
-0.0099406,0.10082,12.0016
-0.0099404,0.0326953,12.0828
-0.0099402,0.0136328,12.0953
-0.00994,-0.0136328,12.0516
-0.0099398,-0.0111719,12.0781
-0.0099396,0.0251953,12.0141
-0.0099394,0.0825,11.9875
-0.0099392,0.0750781,12.0406
-0.009939,0.0534375,12.0875
