TIME,CH1,CH2
-0.01,0.0629688,6.08437
-0.0099998,0.0635156,6.09687
-0.0099996,0.0534375,6.13125
-0.0099994,0.0644531,6.15781
-0.0099992,0.0557813,6.10781
-0.009999,0.0710156,6.05937
-0.0099988,0.0625781,6.09219
-0.0099986,0.0653125,6.07031
-0.0099984,0.0489062,6.09219
-0.0099982,0.0609375,6.10938
-0.009998,0.0814844,6.11094
-0.0099978,0.0574219,6.08281
-0.0099976,0.0559375,6.13437
-0.0099974,0.0503125,6.0875
-0.0099972,0.0675781,6.09062
-0.009997,0.0540625,6.10938
-0.0099968,0.0704688,6.10312
-0.0099966,0.0622656,6.11094
-0.0099964,0.0682813,6.09375
-0.0099962,0.0719531,6.11094
-0.009996,0.0728125,6.10781
-0.0099958,0.0570313,6.10781
-0.0099956,0.0672656,6.10781
-0.0099954,0.0835156,6.08594
-0.0099952,0.05875,6.09375
-0.009995,0.0642969,6.125
-0.0099948,0.0746094,6.05312
-0.0099946,0.060625,6.05312
-0.0099944,0.0442187,6.07344
-0.0099942,0.0739063,6.0625
-0.009994,0.0776562,6.09531
-0.0099938,0.0691406,6.05469
-0.0099936,0.0446875,6.07187
-0.0099934,0.0714063,6.08281
-0.0099932,0.0538281,6.1125
-0.009993,0.0689844,6.10938
-0.0099928,0.06625,6.07187
-0.0099926,0.0753125,6.09687
-0.0099924,0.044375,6.05
-0.0099922,0.0692969,6.05156
-0.009992,0.0521094,6.10781
-0.0099918,0.0577344,6.09531
-0.0099916,0.08125,6.075
-0.0099914,0.0664844,6.07187
-0.0099912,0.0608594,6.09531
-0.009991,0.0720312,6.08437
-0.0099908,0.0476562,6.06094
-0.0099906,0.0548438,6.09531
-0.0099904,0.0628125,6.075
-0.0099902,0.0674219,6.11562
-0.00999,0.08125,6.08281
-0.0099898,0.075625,6.07969
-0.0099896,0.0614844,6.09531
-0.0099894,0.0716406,6.13906
-0.0099892,0.0632812,6.12031
-0.009989,0.0598437,6.06719
-0.0099888,0.0745312,6.09531
-0.0099886,0.0610156,6.09062
-0.0099884,0.04625,6.10625
-0.0099882,0.0646875,6.1
-0.009988,0.056875,6.07344
-0.0099878,0.0632812,6.10625
-0.0099876,0.0636719,6.09687
-0.0099874,0.0352344,6.09062
-0.0099872,0.0536719,6.0875
-0.009987,0.0666406,6.07812
-0.0099868,0.0685938,6.12969
-0.0099866,0.0648438,6.10938
-0.0099864,0.0658594,6.09687
-0.0099862,0.070625,6.15781
-0.009986,0.0475781,6.0625
-0.0099858,0.0716406,6.1125
-0.0099856,0.0647656,6.09844
-0.0099854,0.0607031,6.10312
-0.0099852,0.0580469,6.13906
-0.009985,0.0839844,6.12344
-0.0099848,0.0670313,6.1125
-0.0099846,0.0445312,6.075
-0.0099844,0.0653125,6.14844
-0.0099842,0.0572656,6.10781
-0.009984,0.0742188,6.11875
-0.0099838,0.0638281,6.10781
-0.0099836,0.07125,6.10938
-0.0099834,0.0725,6.11719
-0.0099832,0.0758594,6.14687
-0.009983,0.0697656,6.14531
-0.0099828,0.0567969,6.09375
-0.0099826,0.0728906,6.13594
-0.0099824,0.0750781,6.1
-0.0099822,0.0573438,6.14531
-0.009982,0.0613281,6.09844
-0.0099818,0.0674219,6.07969
-0.0099816,0.0670313,6.10469
-0.0099814,0.0628125,6.13437
-0.0099812,0.0717969,6.11719
-0.009981,0.0455469,6.10312
-0.0099808,0.0578125,6.0875
-0.0099806,0.0929688,6.0875
-0.0099804,0.0579688,6.07656
-0.0099802,0.053125,6.13125
-0.00998,0.0575,6.09687
-0.0099798,0.0605469,6.07969
-0.0099796,0.0559375,6.10938
-0.0099794,0.0653125,6.11094
-0.0099792,0.0553906,6.08281
-0.009979,0.0503125,6.08437
-0.0099788,0.0689844,6.05781
-0.0099786,0.0571875,6.10156
-0.0099784,0.0646875,6.1
-0.0099782,0.0623437,6.06406
-0.009978,0.054375,6.07812
-0.0099778,0.0767969,6.09062
-0.0099776,0.0660156,6.14687
-0.0099774,0.0694531,6.15781
-0.0099772,0.0610937,6.15
-0.009977,0.0590625,6.11875
-0.0099768,0.0517969,6.17656
-0.0099766,0.0539844,6.15
-0.0099764,0.0751563,6.14687
-0.0099762,0.0742969,6.13906
-0.009976,0.0623437,6.14062
-0.0099758,0.0542187,6.15781
-0.0099756,0.0553906,6.13594
-0.0099754,0.0598437,6.10625
-0.0099752,0.0682031,6.12187
-0.009975,0.0641406,6.14844
-0.0099748,0.0565625,6.125
-0.0099746,0.0751563,6.13281
-0.0099744,0.0710937,6.12812
-0.0099742,0.0742969,6.08906
-0.009974,0.0467187,6.12969
-0.0099738,0.0657031,6.14062
-0.0099736,0.0744531,6.11406
-0.0099734,0.0627344,6.09531
-0.0099732,0.0596875,6.10781
-0.009973,0.0853906,6.11094
-0.0099728,0.0682031,6.10781
-0.0099726,0.0478125,6.12969
-0.0099724,0.0742188,6.14062
-0.0099722,0.0661719,6.0875
-0.009972,0.0501563,6.08906
-0.0099718,0.0784375,6.12344
-0.0099716,0.0584375,6.16094
-0.0099714,0.0667969,6.09844
-0.0099712,0.0572656,6.11875
-0.009971,0.0635156,6.08125
-0.0099708,0.0704688,6.06406
-0.0099706,0.0682813,6.10469
-0.0099704,0.051875,6.03437
-0.0099702,0.0664062,6.05469
-0.00997,0.0402344,6.08437
-0.0099698,0.063125,6.02969
-0.0099696,0.0478906,6.10156
-0.0099694,0.0446094,6.025
-0.0099692,0.0751563,6.03125
-0.009969,0.0920313,6.06719
-0.0099688,0.080625,6.05469
-0.0099686,0.0620312,6.05469
-0.0099684,0.0722656,6.11719
-0.0099682,0.0591406,5.99531
-0.009968,0.0667969,6.05781
-0.0099678,0.0603125,6.05781
-0.0099676,0.0807813,6.06562
-0.0099674,0.0596875,6.0375
-0.0099672,0.0625781,6.09375
-0.009967,0.0677344,6.11094
-0.0099668,0.0638281,6.03281
-0.0099666,0.0607813,6.05937
-0.0099664,0.0658594,6.02969
-0.0099662,0.0595313,6.08437
-0.009966,0.0589844,6.05937
-0.0099658,0.0607031,6.05
-0.0099656,0.0521875,6.03437
-0.0099654,0.0605469,6.04062
-0.0099652,0.0496094,6.03594
-0.009965,0.0516406,6.01406
-0.0099648,0.0776562,6.03437
-0.0099646,0.0553906,6.01875
-0.0099644,0.0655469,6.04531
-0.0099642,0.0701562,6.0625
-0.009964,0.0620312,6.01875
-0.0099638,0.075625,6.03125
-0.0099636,0.0625,6.06875
-0.0099634,0.0410937,5.99531
-0.0099632,0.0830469,6.06562
-0.009963,0.0621875,6.05312
-0.0099628,0.0464062,6.02344
-0.0099626,0.0651563,5.97187
-0.0099624,0.0594531,6.02812
-0.0099622,0.0707813,6.06094
-0.009962,0.0694531,6.03281
-0.0099618,0.0539063,6.01094
-0.0099616,0.0555469,6.03906
-0.0099614,0.0563281,6.01562
-0.0099612,0.0739844,6.03125
-0.009961,0.0660156,6.01719
-0.0099608,0.0528125,6.00312
-0.0099606,0.0649219,6.01406
-0.0099604,0.0589844,5.98438
-0.0099602,0.0503906,5.99844
-0.00996,0.0742969,6.0375
-0.0099598,0.0789062,6.03594
-0.0099596,0.0646094,6.0375
-0.0099594,0.0626563,6.02656
-0.0099592,0.0794531,6.02656
-0.009959,0.0527344,6.03906
-0.0099588,0.0935156,6.04219
-0.0099586,0.0664844,6.00156
-0.0099584,0.0663281,5.97812
-0.0099582,0.0403125,6.03281
-0.009958,0.0898438,6.0125
-0.0099578,0.0534375,6.02031
-0.0099576,0.0226563,6.025
-0.0099574,0.0550781,6.025
-0.0099572,0.0785156,6.02812
-0.009957,0.0360156,5.99219
-0.0099568,0.0611719,6.00469
-0.0099566,0.0761719,6.03125
-0.0099564,0.0382813,5.98125
-0.0099562,0.0792188,5.96562
-0.009956,0.0307031,5.95312
-0.0099558,0.0508594,5.97031
-0.0099556,0.0592969,5.98281
-0.0099554,0.0790625,5.94531
