TIME,CH1,CH2
-0.01,0.449219,12.0016
-0.0099998,0.450938,11.9766
-0.0099996,0.455313,11.9875
-0.0099994,0.457813,11.9812
-0.0099992,0.464063,11.975
-0.009999,0.453125,11.9688
-0.0099988,0.416562,12.0062
-0.0099986,0.463594,11.9984
-0.0099984,0.442969,12.0016
-0.0099982,0.436406,11.9984
-0.009998,0.501875,11.9828
-0.0099978,0.457813,12.0297
-0.0099976,0.476875,12.0344
-0.0099974,0.453125,11.9891
-0.0099972,0.459688,11.9734
-0.009997,0.469375,11.9844
-0.0099968,0.41125,11.9734
-0.0099966,0.459688,11.9734
-0.0099964,0.409844,11.9734
-0.0099962,0.465,11.9891
-0.009996,0.441094,11.9797
-0.0099958,0.453281,12.0062
-0.0099956,0.462031,11.9875
-0.0099954,0.469688,11.9734
-0.0099952,0.455781,12.0031
-0.009995,0.429375,12.0266
-0.0099948,0.458438,11.9641
-0.0099946,0.451719,11.975
-0.0099944,0.417656,11.9953
-0.0099942,0.428125,12.0312
-0.009994,0.464375,11.9797
-0.0099938,0.503437,12
-0.0099936,0.455469,11.9875
-0.0099934,0.470156,12.0219
-0.0099932,0.437344,11.9969
-0.009993,0.442813,11.9844
-0.0099928,0.39625,11.9938
-0.0099926,0.490156,12
-0.0099924,0.463437,11.9969
-0.0099922,0.481875,11.9688
-0.009992,0.4725,11.9953
-0.0099918,0.362656,11.9812
-0.0099916,0.407812,11.9625
-0.0099914,0.453906,12.0016
-0.0099912,0.404688,12.0328
-0.009991,0.468437,11.9875
-0.0099908,0.479688,11.9703
-0.0099906,0.433438,11.9828
-0.0099904,0.440313,12.0172
-0.0099902,0.454844,11.9625
-0.00999,0.454687,11.9328
-0.0099898,0.454531,11.9984
-0.0099896,0.436406,12.0078
-0.0099894,0.432813,12.0172
-0.0099892,0.439219,11.9797
-0.009989,0.425469,12.0078
-0.0099888,0.517656,12.0297
-0.0099886,0.439062,12.0109
-0.0099884,0.452344,11.9375
-0.0099882,0.450312,11.9844
-0.009988,0.425937,11.975
-0.0099878,0.433906,12.0172
-0.0099876,0.425,12.0078
-0.0099874,0.448594,11.9891
-0.0099872,0.451406,11.9453
-0.009987,0.485937,12.0031
-0.0099868,0.447812,11.9875
-0.0099866,0.444219,12.0141
-0.0099864,0.482813,11.9906
-0.0099862,0.4975,11.9891
-0.009986,0.4725,12
-0.0099858,0.462188,11.9891
-0.0099856,0.4725,11.9969
-0.0099854,0.461562,11.9906
-0.0099852,0.43375,11.9969
-0.009985,0.478125,12.0359
-0.0099848,0.444375,11.9953
-0.0099846,0.4825,11.9656
-0.0099844,0.512969,11.9906
-0.0099842,0.437344,11.9953
-0.009984,0.440781,11.9859
-0.0099838,0.441094,12.0031
-0.0099836,0.447344,11.9609
-0.0099834,0.463125,12.0062
-0.0099832,0.473281,12.0094
-0.009983,0.486875,11.9938
-0.0099828,0.50375,11.9688
-0.0099826,0.485781,11.9469
-0.0099824,0.468437,11.9812
-0.0099822,0.46625,11.9922
-0.009982,0.4525,11.9922
-0.0099818,0.454219,11.9531
-0.0099816,0.43875,11.9672
-0.0099814,0.4275,11.9453
