TIME,CH1,CH2
-0.005,-0.198438,0.290234
-0.0049999,-0.223437,0.317891
-0.0049998,-0.179688,0.302969
-0.0049997,-0.185937,0.294844
-0.0049996,-0.209375,0.285937
-0.0049995,-0.142187,0.297578
-0.0049994,-0.18125,0.276484
-0.0049993,-0.175,0.302422
-0.0049992,-0.190625,0.288984
-0.0049991,-0.201562,0.302734
-0.004999,-0.184375,0.283281
-0.0049989,-0.15625,0.303203
-0.0049988,-0.19375,0.290937
-0.0049987,-0.18125,0.301875
-0.0049986,-0.204687,0.301094
-0.0049985,-0.210938,0.300781
-0.0049984,-0.189062,0.279141
-0.0049983,-0.185937,0.316328
-0.0049982,-0.170312,0.28
-0.0049981,-0.171875,0.292813
-0.004998,-0.139062,0.292422
-0.0049979,-0.173437,0.311719
-0.0049978,-0.190625,0.285
-0.0049977,-0.179688,0.289219
-0.0049976,-0.196875,0.308203
-0.0049975,-0.184375,0.275391
-0.0049974,-0.185937,0.281016
-0.0049973,-0.171875,0.306953
-0.0049972,-0.1625,0.286172
-0.0049971,-0.195312,0.302187
-0.004997,-0.15625,0.307031
-0.0049969,-0.189062,0.298828
-0.0049968,-0.176562,0.312187
-0.0049967,-0.192187,0.291719
-0.0049966,-0.1625,0.317578
-0.0049965,-0.214063,0.305625
-0.0049964,-0.201562,0.274453
-0.0049963,-0.214063,0.279297
-0.0049962,-0.20625,0.307891
-0.0049961,-0.170312,0.304063
-0.004996,-0.164062,0.289453
-0.0049959,-0.234375,0.27875
-0.0049958,-0.19375,0.271094
-0.0049957,-0.189062,0.295312
-0.0049956,-0.173437,0.289141
-0.0049955,-0.2375,0.293672
-0.0049954,-0.192187,0.287266
-0.0049953,-0.204687,0.281875
-0.0049952,-0.167188,0.281172
-0.0049951,-0.184375,0.275078
-0.004995,-0.195312,0.305078
-0.0049949,-0.151563,0.2725
-0.0049948,-0.185937,0.27625
-0.0049947,-0.195312,0.291172
-0.0049946,-0.178125,0.28875
-0.0049945,-0.226562,0.279844
-0.0049944,-0.203125,0.296172
-0.0049943,-0.14375,0.291016
-0.0049942,-0.178125,0.281016
-0.0049941,-0.154687,0.304063
-0.004994,-0.201562,0.287266
-0.0049939,-0.19375,0.299922
-0.0049938,-0.140625,0.289687
-0.0049937,-0.165625,0.270547
-0.0049936,-0.179688,0.276641
-0.0049935,-0.189062,0.303438
-0.0049934,-0.142187,0.294609
-0.0049933,-0.201562,0.295469
-0.0049932,-0.2,0.296875
-0.0049931,-0.19375,0.283672
-0.004993,-0.192187,0.274375
-0.0049929,-0.207812,0.275156
-0.0049928,-0.167188,0.303906
-0.0049927,-0.185937,0.283516
-0.0049926,-0.176562,0.280078
-0.0049925,-0.195312,0.293672
-0.0049924,-0.201562,0.275547
-0.0049923,-0.184375,0.286172
-0.0049922,-0.129687,0.268828
-0.0049921,-0.201562,0.272656
-0.004992,-0.190625,0.288672
-0.0049919,-0.204687,0.270859
-0.0049918,-0.19375,0.296719
-0.0049917,-0.173437,0.292969
-0.0049916,-0.165625,0.271563
-0.0049915,-0.159375,0.265234
-0.0049914,-0.201562,0.300078
-0.0049913,-0.189062,0.302578
-0.0049912,-0.175,0.281875
-0.0049911,-0.135938,0.283281
-0.004991,-0.234375,0.269531
-0.0049909,-0.171875,0.292813
-0.0049908,-0.164062,0.297031
-0.0049907,-0.204687,0.285
-0.0049906,-0.190625,0.292969
-0.0049905,-0.139062,0.284062
-0.0049904,-0.204687,0.255703
-0.0049903,-0.189062,0.304609
-0.0049902,-0.16875,0.280078
-0.0049901,-0.217187,0.282656
-0.00499,-0.223437,0.295703
-0.0049899,-0.184375,0.288594
-0.0049898,-0.15,0.272266
-0.0049897,-0.165625,0.269609
-0.0049896,-0.171875,0.283828
-0.0049895,-0.189062,0.275078
-0.0049894,-0.167188,0.260625
-0.0049893,-0.151563,0.272891
-0.0049892,-0.170312,0.280703
-0.0049891,-0.225,0.304141
-0.004989,-0.207812,0.285781
-0.0049889,-0.175,0.279062
-0.0049888,-0.171875,0.267969
-0.0049887,-0.165625,0.281953
-0.0049886,-0.159375,0.288438
-0.0049885,-0.151563,0.303125
-0.0049884,-0.165625,0.263906
-0.0049883,-0.159375,0.252891
-0.0049882,-0.21875,0.285234
-0.0049881,-0.179688,0.274297
-0.004988,-0.18125,0.306875
-0.0049879,-0.175,0.285312
-0.0049878,-0.195312,0.281328
-0.0049877,-0.185937,0.265547
-0.0049876,-0.179688,0.266016
-0.0049875,-0.171875,0.278203
-0.0049874,-0.140625,0.283438
-0.0049873,-0.148438,0.277891
-0.0049872,-0.165625,0.264141
-0.0049871,-0.13125,0.297031
-0.004987,-0.154687,0.273125
-0.0049869,-0.198438,0.272656
-0.0049868,-0.171875,0.275781
-0.0049867,-0.210938,0.229687
-0.0049866,-0.125,0.271719
-0.0049865,-0.142187,0.302734
-0.0049864,-0.18125,0.275781
-0.0049863,-0.228125,0.257578
-0.0049862,-0.210938,0.256563
-0.0049861,-0.134375,0.298438
-0.004986,-0.190625,0.279922
-0.0049859,-0.192187,0.293047
-0.0049858,-0.15625,0.28625
-0.0049857,-0.182813,0.271953
-0.0049856,-0.217187,0.266563
-0.0049855,-0.1875,0.277813
-0.0049854,-0.198438,0.268437
-0.0049853,-0.16875,0.283203
-0.0049852,-0.173437,0.279922
-0.0049851,-0.203125,0.253281
-0.004985,-0.148438,0.263828
-0.0049849,-0.185937,0.264922
-0.0049848,-0.189062,0.294687
-0.0049847,-0.184375,0.295937
-0.0049846,-0.185937,0.278984
-0.0049845,-0.192187,0.262734
-0.0049844,-0.21875,0.250938
-0.0049843,-0.165625,0.300937
-0.0049842,-0.15625,0.266094
-0.0049841,-0.126562,0.281719
-0.004984,-0.1875,0.266875
-0.0049839,-0.173437,0.253906
-0.0049838,-0.195312,0.264844
-0.0049837,-0.1875,0.273984
-0.0049836,-0.171875,0.289531
-0.0049835,-0.165625,0.259453
-0.0049834,-0.157812,0.244922
-0.0049833,-0.145312,0.271328
-0.0049832,-0.16875,0.255469
-0.0049831,-0.16875,0.267734
-0.004983,-0.185937,0.250469
-0.0049829,-0.171875,0.265469
-0.0049828,-0.157812,0.2525
-0.0049827,-0.207812,0.287734
-0.0049826,-0.148438,0.263516
-0.0049825,-0.198438,0.259297
-0.0049824,-0.1875,0.247031
-0.0049823,-0.192187,0.275703
-0.0049822,-0.151563,0.289531
-0.0049821,-0.190625,0.275547
-0.004982,-0.189062,0.268516
-0.0049819,-0.1875,0.251719
-0.0049818,-0.1625,0.248281
