TIME,CH1,CH2
-0.01,0.0260938,8.75156
-0.0099998,0.0361328,8.70781
-0.0099996,0.0398828,8.70781
-0.0099994,0.0225391,8.74219
-0.0099992,0.0115625,8.73438
-0.009999,0.0273828,8.70625
-0.0099988,0.028125,8.7125
-0.0099986,0.0285937,8.69844
-0.0099984,0.0299609,8.73281
-0.0099982,0.0289453,8.72187
-0.009998,0.0386328,8.73594
-0.0099978,0.0452344,8.7375
-0.0099976,0.0402734,8.74062
-0.0099974,0.0301953,8.72344
-0.0099972,0.0240625,8.74219
-0.009997,0.0236719,8.71875
-0.0099968,0.0495313,8.68281
-0.0099966,0.0310547,8.67969
-0.0099964,0.0321484,8.70312
-0.0099962,0.0359766,8.76875
-0.009996,0.0244141,8.79219
-0.0099958,0.045625,8.71719
-0.0099956,0.0372266,8.73438
-0.0099954,0.0329687,8.73438
-0.0099952,0.050625,8.70781
-0.009995,0.0282422,8.72812
-0.0099948,0.0339453,8.68594
-0.0099946,0.0199219,8.71719
-0.0099944,0.0312109,8.66094
-0.0099942,0.0285547,8.71719
-0.009994,0.0360156,8.70781
-0.0099938,0.0284375,8.71719
-0.0099936,0.0146875,8.70781
-0.0099934,0.0225,8.69531
-0.0099932,0.0282813,8.66875
-0.009993,0.0341797,8.68125
-0.0099928,0.0283984,8.7
-0.0099926,0.024375,8.73281
-0.0099924,0.0439844,8.67344
-0.0099922,0.0424609,8.69844
-0.009992,0.0291016,8.71562
-0.0099918,0.0303125,8.70625
-0.0099916,0.0301953,8.69062
-0.0099914,0.0398438,8.70625
-0.0099912,0.0244922,8.67344
-0.009991,0.0275391,8.70781
-0.0099908,0.0208984,8.7375
-0.0099906,0.0286328,8.73438
-0.0099904,0.0408594,8.67031
-0.0099902,0.0522656,8.68281
-0.00999,0.0370703,8.70625
-0.0099898,0.0535156,8.70312
-0.0099896,0.0288281,8.69531
-0.0099894,0.0337109,8.74844
-0.0099892,0.0482813,8.70156
-0.009989,0.0320312,8.68437
-0.0099888,0.0517969,8.72969
-0.0099886,0.0338672,8.74687
-0.0099884,0.0372266,8.71562
-0.0099882,0.0431641,8.73594
-0.009988,0.0447656,8.71094
-0.0099878,0.0353516,8.69219
-0.0099876,0.0409766,8.72969
-0.0099874,0.0412109,8.70312
-0.0099872,0.0487109,8.74219
-0.009987,0.0298047,8.70156
-0.0099868,0.0492969,8.6875
-0.0099866,0.0439844,8.69375
-0.0099864,0.0321484,8.75
-0.0099862,0.0249609,8.74844
-0.009986,0.0248438,8.73438
-0.0099858,0.0378906,8.73594
-0.0099856,0.0408594,8.73906
-0.0099854,0.0435547,8.775
-0.0099852,0.0332813,8.76406
-0.009985,0.0383984,8.70312
-0.0099848,0.0289063,8.74062
-0.0099846,0.0420703,8.72031
-0.0099844,0.0248047,8.70156
-0.0099842,0.0444922,8.71562
-0.009984,0.0458203,8.71719
-0.0099838,0.0309766,8.73906
-0.0099836,0.0362891,8.75469
-0.0099834,0.0192969,8.74531
-0.0099832,0.0376953,8.74062
-0.009983,0.0207031,8.74531
-0.0099828,0.0162109,8.70625
-0.0099826,0.0384375,8.73281
-0.0099824,0.0150781,8.75
-0.0099822,0.0395313,8.77187
-0.009982,0.0399609,8.73125
-0.0099818,0.0355078,8.74844
-0.0099816,0.0386328,8.75156
-0.0099814,0.0312109,8.70312
-0.0099812,0.0452344,8.76719
-0.009981,0.0248047,8.79375
-0.0099808,0.03625,8.74687
-0.0099806,0.0213281,8.74844
-0.0099804,0.0194922,8.73906
-0.0099802,0.0259766,8.74531
-0.00998,0.0203516,8.77344
-0.0099798,0.0449609,8.71562
-0.0099796,0.0464062,8.75156
-0.0099794,0.021875,8.74687
-0.0099792,0.0507031,8.69219
-0.009979,0.0301953,8.7125
-0.0099788,0.0232031,8.74687
-0.0099786,0.0384766,8.80937
-0.0099784,0.0434766,8.71719
-0.0099782,0.0342187,8.78437
-0.009978,0.0207031,8.72344
-0.0099778,0.0361328,8.75625
-0.0099776,0.0267578,8.76562
-0.0099774,0.0352344,8.72656
-0.0099772,0.0254297,8.77344
-0.009977,0.0430469,8.75781
-0.0099768,0.0442969,8.7375
-0.0099766,0.0499609,8.79062
-0.0099764,0.0532813,8.76875
-0.0099762,0.03125,8.77812
-0.009976,0.0398047,8.79844
-0.0099758,0.0435547,8.78906
-0.0099756,0.0358984,8.75937
-0.0099754,0.0183984,8.78281
-0.0099752,0.0422266,8.74375
-0.009975,0.0450781,8.68281
-0.0099748,0.035,8.75312
-0.0099746,0.0417188,8.75781
-0.0099744,0.0361328,8.75469
-0.0099742,0.0238281,8.77031
-0.009974,0.0342187,8.8125
-0.0099738,0.0167578,8.77812
-0.0099736,0.0195703,8.78437
-0.0099734,0.0352734,8.79688
-0.0099732,0.028125,8.75
-0.009973,0.0446094,8.77812
-0.0099728,0.0394922,8.75312
-0.0099726,0.0398047,8.75312
-0.0099724,0.0270313,8.80781
-0.0099722,0.0242969,8.76875
-0.009972,0.0449609,8.75
-0.0099718,0.0327734,8.76406
-0.0099716,0.0522656,8.75156
-0.0099714,0.0430469,8.74687
-0.0099712,0.0431641,8.79688
-0.009971,0.040625,8.77344
-0.0099708,0.00582031,8.74687
-0.0099706,0.00300781,8.78906
-0.0099704,0.0187891,8.77969
-0.0099702,0.04125,8.80469
-0.00997,0.0390625,8.81562
-0.0099698,0.00863281,8.77344
-0.0099696,0.0330469,8.7625
-0.0099694,0.0239453,8.82344
-0.0099692,0.030625,8.77031
-0.009969,0.0467188,8.75781
-0.0099688,0.0231641,8.78594
-0.0099686,0.0528516,8.78281
-0.0099684,0.0264453,8.79844
-0.0099682,0.0287891,8.79844
-0.009968,0.0399609,8.82344
-0.0099678,0.0411328,8.80312
-0.0099676,0.0374219,8.77969
-0.0099674,0.0401563,8.77969
-0.0099672,0.0191406,8.78906
-0.009967,0.0379297,8.84844
-0.0099668,0.0298828,8.84219
-0.0099666,0.0498828,8.82344
-0.0099664,0.0155859,8.80469
-0.0099662,0.0158984,8.82187
-0.009966,0.0500391,8.79531
-0.0099658,0.0394531,8.79219
-0.0099656,0.0333594,8.83281
-0.0099654,0.0177344,8.82031
-0.0099652,0.0401953,8.8375
-0.009965,0.0529688,8.83437
-0.0099648,0.0226172,8.84062
-0.0099646,0.0417188,8.81406
-0.0099644,0.0174219,8.82344
-0.0099642,0.0294922,8.84062
-0.009964,0.0474219,8.86875
-0.0099638,0.0353906,8.77812
-0.0099636,0.0437109,8.85625
-0.0099634,0.0330469,8.7875
-0.0099632,0.0153516,8.84219
-0.009963,0.0348047,8.875
-0.0099628,0.0456641,8.83437
-0.0099626,0.0415625,8.83437
-0.0099624,0.0378516,8.8625
-0.0099622,0.0316797,8.82656
-0.009962,0.0558594,8.84531
-0.0099618,0.0444531,8.82969
-0.0099616,0.0395313,8.79531
-0.0099614,0.0455469,8.83281
-0.0099612,0.0308203,8.86094
-0.009961,0.0332813,8.7875
-0.0099608,0.0288672,8.82344
-0.0099606,0.0457812,8.84531
-0.0099604,0.0282813,8.88437
-0.0099602,0.0229297,8.83906
-0.00996,0.0339844,8.87031
-0.0099598,0.0382813,8.84844
-0.0099596,0.0421875,8.81875
-0.0099594,0.041875,8.84219
-0.0099592,0.0327734,8.86562
-0.009959,0.0508984,8.82656
-0.0099588,0.0182813,8.83906
-0.0099586,0.0313281,8.82656
-0.0099584,0.0214453,8.84531
-0.0099582,0.040625,8.89062
-0.009958,0.0343359,8.85625
-0.0099578,0.0478906,8.8375
-0.0099576,0.0467969,8.7625
-0.0099574,0.0258594,8.85
-0.0099572,0.0323438,8.83594
-0.009957,0.0390625,8.8375
-0.0099568,0.0269141,8.82969
-0.0099566,0.0221484,8.92031
-0.0099564,0.0408984,8.80156
-0.0099562,0.0445703,8.83437
-0.009956,0.0443359,8.80781
-0.0099558,0.0380078,8.87656
-0.0099556,0.0224609,8.82031
-0.0099554,0.0326953,8.84531
-0.0099552,0.0412109,8.81406
-0.009955,0.0488281,8.84219
-0.0099548,0.0203125,8.86094
-0.0099546,0.0377734,8.81719
-0.0099544,0.0454297,8.86875
-0.0099542,0.0289844,8.85
-0.009954,0.0394531,8.81562
-0.0099538,0.0332813,8.84375
-0.0099536,0.0355859,8.80156
-0.0099534,0.0480859,8.8125
-0.0099532,0.0271875,8.80781
-0.009953,0.0567188,8.79375
-0.0099528,0.0230859,8.86719
-0.0099526,0.0469531,8.8375
-0.0099524,0.0410938,8.85312
-0.0099522,0.0284766,8.83125
-0.009952,0.0470312,8.83437
-0.0099518,0.0428906,8.825
-0.0099516,0.0259375,8.79531
-0.0099514,0.0417188,8.84687
-0.0099512,0.0378516,8.85469
-0.009951,0.0459375,8.78594
-0.0099508,0.0354688,8.82812
-0.0099506,0.0192578,8.78281
-0.0099504,0.0269922,8.81094
-0.0099502,0.0398828,8.82656
-0.00995,0.0339453,8.78594
-0.0099498,0.0353516,8.81875
-0.0099496,0.0229297,8.76562
-0.0099494,0.0313281,8.81406
-0.0099492,0.0370312,8.825
-0.009949,0.0348438,8.85156
-0.0099488,0.0542969,8.81875
-0.0099486,0.0460156,8.83125
-0.0099484,0.0393359,8.79062
-0.0099482,0.0271484,8.825
-0.009948,0.0401953,8.77969
-0.0099478,0.0265234,8.84531
-0.0099476,0.0406641,8.80469
-0.0099474,0.0377734,8.79062
-0.0099472,0.0354688,8.78281
-0.009947,0.0362109,8.82656
-0.0099468,0.0309375,8.77812
-0.0099466,0.0328516,8.81719
-0.0099464,0.0387109,8.80156
-0.0099462,0.0383984,8.81719
-0.009946,0.0243359,8.825
-0.0099458,0.0357812,8.76875
-0.0099456,0.0348828,8.80625
-0.0099454,0.0432031,8.79844
-0.0099452,0.0357031,8.78125
-0.009945,0.0213672,8.79688
-0.0099448,0.0419531,8.81719
-0.0099446,0.03375,8.79219
-0.0099444,0.0409766,8.78281
-0.0099442,0.0244141,8.71094
-0.009944,0.0220703,8.80937
-0.0099438,0.0333984,8.81094
-0.0099436,0.0411328,8.76094
-0.0099434,0.0383594,8.80312
-0.0099432,0.0355859,8.80156
-0.009943,0.0238672,8.81562
-0.0099428,0.0346484,8.80937
-0.0099426,0.0471484,8.74531
-0.0099424,0.0107031,8.76875
-0.0099422,0.0446094,8.75937
-0.009942,0.0449219,8.78437
-0.0099418,0.0399219,8.77187
-0.0099416,0.0290625,8.80625
-0.0099414,0.0379297,8.76406
-0.0099412,0.0309766,8.76094
-0.009941,0.0136328,8.78594
-0.0099408,0.0440234,8.7625
-0.0099406,0.0362891,8.77969
-0.0099404,0.0451953,8.79375
-0.0099402,0.0451172,8.77812
-0.00994,0.0336328,8.80937
-0.0099398,0.0453516,8.77031
-0.0099396,0.0398828,8.76875
-0.0099394,0.0448047,8.78125
-0.0099392,0.0357812,8.76094
-0.009939,0.0232031,8.77031
-0.0099388,0.0163672,8.73594
-0.0099386,0.0430469,8.76719
-0.0099384,0.0350781,8.77969
-0.0099382,0.0212109,8.76719
-0.009938,0.0408984,8.74687
-0.0099378,0.0403906,8.74375
-0.0099376,0.0284375,8.76562
-0.0099374,0.0212891,8.78125
-0.0099372,0.0408984,8.77656
-0.009937,0.0421875,8.75469
-0.0099368,0.041875,8.81406
-0.0099366,0.0397656,8.7875
-0.0099364,0.0216016,8.79688
-0.0099362,0.0382813,8.80469
-0.009936,0.0345703,8.76094
-0.0099358,0.0399609,8.7875
-0.0099356,0.0533984,8.76094
-0.0099354,0.0121875,8.83125
-0.0099352,0.0334766,8.78281
-0.009935,0.0404297,8.78281
-0.0099348,0.0292969,8.79219
-0.0099346,0.0424609,8.79531
-0.0099344,0.045625,8.77344
-0.0099342,0.0267578,8.78437
-0.009934,0.0328906,8.75625
-0.0099338,0.0260547,8.8
-0.0099336,0.0217188,8.82187
-0.0099334,0.0301562,8.73906
-0.0099332,0.0486719,8.74531
-0.009933,0.02875,8.77812
-0.0099328,0.0464062,8.8
-0.0099326,0.0407031,8.78281
-0.0099324,0.0309766,8.83281
-0.0099322,0.0272266,8.80469
-0.009932,0.0416016,8.81562
-0.0099318,0.0178906,8.76875
-0.0099316,0.03125,8.79062
-0.0099314,0.0371875,8.77031
-0.0099312,0.0410547,8.8375
-0.009931,0.0346094,8.84062
-0.0099308,0.0380859,8.76562
-0.0099306,0.0630469,8.81406
-0.0099304,0.0319531,8.79062
-0.0099302,0.0355469,8.76875
-0.00993,0.0231641,8.775
-0.0099298,0.0265625,8.75
-0.0099296,0.0436719,8.8
-0.0099294,0.0544922,8.8
-0.0099292,0.0303516,8.81406
-0.009929,0.0424219,8.76719
-0.0099288,0.0219141,8.78906
-0.0099286,0.0492187,8.82812
-0.0099284,0.0400781,8.8125
-0.0099282,0.0308594,8.80312
-0.009928,0.0271094,8.78906
-0.0099278,0.0444141,8.78437
-0.0099276,0.0308203,8.77187
-0.0099274,0.0496875,8.81562
-0.0099272,0.0271875,8.7875
-0.009927,0.0364062,8.81562
-0.0099268,0.0281641,8.8375
-0.0099266,0.0377734,8.81406
-0.0099264,0.0433594,8.82187
-0.0099262,0.0446094,8.825
-0.009926,0.0393359,8.82969
-0.0099258,0.0434766,8.8375
-0.0099256,0.0303516,8.79844
-0.0099254,0.0344141,8.78125
-0.0099252,0.0446875,8.78594
-0.009925,0.0302344,8.75781
-0.0099248,0.0315234,8.84062
-0.0099246,0.0321875,8.8375
-0.0099244,0.0444531,8.77969
-0.0099242,0.0374609,8.80937
-0.009924,0.0395703,8.81719
-0.0099238,0.0390625,8.79531
-0.0099236,0.0389453,8.79375
-0.0099234,0.0380078,8.78594
-0.0099232,0.0301953,8.78437
-0.009923,0.0298828,8.78906
-0.0099228,0.0354297,8.78906
-0.0099226,0.0571094,8.77969
-0.0099224,0.03625,8.78437
-0.0099222,0.0266797,8.82187
-0.009922,0.0384375,8.77656
-0.0099218,0.0283203,8.7875
-0.0099216,0.0340625,8.77187
-0.0099214,0.0310156,8.77656
-0.0099212,0.0321094,8.77656
-0.009921,0.0413281,8.84687
-0.0099208,0.0272266,8.83125
-0.0099206,0.0525,8.78906
-0.0099204,0.0451953,8.7875
-0.0099202,0.0323047,8.78437
-0.00992,0.0546875,8.82969
-0.0099198,0.0407812,8.77969
-0.0099196,0.0396484,8.7875
-0.0099194,0.0340625,8.82656
-0.0099192,0.0356641,8.77187
-0.009919,0.038125,8.80156
-0.0099188,0.0261719,8.82187
-0.0099186,0.0298047,8.80156
-0.0099184,0.0337891,8.79062
-0.0099182,0.0255469,8.79688
-0.009918,0.0355469,8.75625
-0.0099178,0.0360547,8.78437
-0.0099176,0.0451172,8.74687
-0.0099174,0.0382031,8.79844
-0.0099172,0.0435156,8.77344
-0.009917,0.0745703,8.7875
-0.0099168,0.0441797,8.81875
-0.0099166,0.0374219,8.76875
-0.0099164,0.033125,8.78281
-0.0099162,0.0276563,8.79844
-0.009916,0.0350781,8.79844
-0.0099158,0.0412109,8.79219
-0.0099156,0.0283203,8.77656
-0.0099154,0.0435937,8.77031
-0.0099152,0.0197656,8.74687
-0.009915,0.0396484,8.76875
-0.0099148,0.036875,8.77344
-0.0099146,0.0379687,8.82344
-0.0099144,0.0389844,8.76719
-0.0099142,0.0389453,8.74062
-0.009914,0.0492969,8.825
-0.0099138,0.0372656,8.75625
-0.0099136,0.0326563,8.77031
-0.0099134,0.023125,8.75
-0.0099132,0.0378906,8.77656
-0.009913,0.0327734,8.7625
-0.0099128,0.0300391,8.78125
-0.0099126,0.0273047,8.7875
-0.0099124,0.0458984,8.76094
-0.0099122,0.0226953,8.7625
-0.009912,0.026875,8.72187
-0.0099118,0.0292578,8.81719
-0.0099116,0.0383984,8.77969
-0.0099114,0.0538281,8.775
-0.0099112,0.0318359,8.78437
-0.009911,0.0286328,8.7875
-0.0099108,0.0360156,8.78594
-0.0099106,0.0199219,8.77656
-0.0099104,0.0445313,8.81875
-0.0099102,0.0296875,8.79531
-0.00991,0.0228906,8.81562
